"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.225,0.70519,0.005,0.0056607,-0.028556,-6.627e-25
0.175,0.75523,0.005,0.003839,-0.030403,7.5172e-25
0.125,0.80528,0.005,0.0023306,-0.03207,1.435e-24
0.075,0.85532,0.005,0.0011893,-0.033377,7.1455e-25
0.025,0.90536,0.005,0.00031058,-0.033191,-1.7467e-41
0.975,0.024,0.005,0.037445,-0.0008916,7.1369e-25
0.925,0.072,0.005,0.038239,-0.0016727,2.3367e-24
0.875,0.12,0.005,0.036773,-0.003288,2.6976e-24
0.825,0.168,0.005,0.034847,-0.0049334,3.2579e-24
0.775,0.216,0.005,0.032651,-0.0067555,1.2965e-24
0.725,0.264,0.005,0.030238,-0.0086918,-2.0857e-24
0.675,0.312,0.005,0.027651,-0.010723,-1.1564e-24
0.625,0.36,0.005,0.024942,-0.012825,1.1042e-24
0.575,0.408,0.005,0.022167,-0.014968,9.9923e-39
0.525,0.456,0.005,0.019381,-0.017127,8.7187e-25
0.475,0.50502,0.005,0.016598,-0.019304,3.7029e-26
0.425,0.55506,0.005,0.013867,-0.021474,8.652e-39
0.375,0.60511,0.005,0.011264,-0.023593,-3.6763e-39
0.325,0.65515,0.005,0.0088345,-0.025643,7.1488e-39
0.275,0.70519,0.005,0.0066253,-0.027607,7.3444e-25
0.225,0.75523,0.005,0.0046825,-0.029464,1.7516e-26
0.175,0.80528,0.005,0.0030481,-0.031184,1.0565e-24
0.125,0.85532,0.005,0.0017479,-0.032716,8.0215e-25
0.075,0.90536,0.005,0.00084216,-0.033905,-4.9993e-25
0.025,0.9554,0.005,0.00011435,-0.033663,-7.0762e-25
1.025,0.024,0.005,0.03842,-0.00077305,3.8985e-24
0.975,0.072,0.005,0.039413,-0.0014671,9.5686e-25
0.925,0.12,0.005,0.038015,-0.002947,-9.2436e-25
0.875,0.168,0.005,0.036127,-0.00447,-4.9848e-25
0.825,0.216,0.005,0.033957,-0.0061802,8.1844e-25
0.775,0.264,0.005,0.031561,-0.0080178,1.1767e-24
0.725,0.312,0.005,0.028981,-0.0099655,-8.518e-25
0.675,0.36,0.005,0.026267,-0.011998,6.5395e-25
0.625,0.408,0.005,0.023475,-0.014089,1.0442e-24
0.575,0.456,0.005,0.020659,-0.01621,-8.7218e-25
0.525,0.50502,0.005,0.017833,-0.018361,-9.9776e-25
0.475,0.55506,0.005,0.015043,-0.020513,-8.1234e-25
0.425,0.60511,0.005,0.012369,-0.022619,-1.5434e-25
0.375,0.65515,0.005,0.0098544,-0.024659,-7.2192e-25
0.325,0.70519,0.005,0.0075434,-0.026616,-1.9805e-24
0.275,0.75523,0.005,0.005481,-0.028469,-1.4017e-24
0.225,0.80528,0.005,0.0037098,-0.030198,-1.2242e-24
0.175,0.85532,0.005,0.0022671,-0.031774,-8.8365e-25
0.125,0.90536,0.005,0.0011757,-0.033157,-1.6033e-25
0.075,0.9554,0.005,0.00050184,-0.034202,-4.5051e-34
0.025,1.0054,0.005,-8.5591e-05,-0.033903,-3.3863e-25
1.075,0.024,0.005,0.039253,-0.00065955,5.5745e-25
1.025,0.072,0.005,0.040453,-0.0012679,9.1893e-25
0.975,0.12,0.005,0.039134,-0.0026139,-2.3789e-24
0.925,0.168,0.005,0.037295,-0.0040167,-4.7077e-25
0.875,0.216,0.005,0.035162,-0.0056142,2.7646e-39
0.825,0.264,0.005,0.032793,-0.0073502,3.3713e-25
0.775,0.312,0.005,0.030229,-0.009209,1.0911e-24
0.725,0.36,0.005,0.02752,-0.011167,-2.2415e-25
0.675,0.408,0.005,0.02472,-0.013198,-8.4229e-25
0.625,0.456,0.005,0.02188,-0.015274,8.0485e-25
0.575,0.50502,0.005,0.019016,-0.017392,8.079e-25
0.525,0.55506,0.005,0.016173,-0.019521,9.9158e-25
0.475,0.60511,0.005,0.013431,-0.021612,7.3439e-25
0.425,0.65515,0.005,0.010833,-0.023642,2.0521e-25
0.375,0.70519,0.005,0.0084227,-0.025592,-1.4368e-24
0.325,0.75523,0.005,0.0062433,-0.02744,-7.5052e-25
0.275,0.80528,0.005,0.0043375,-0.029168,-9.8268e-40
0.225,0.85532,0.005,0.0027443,-0.030753,-9.2244e-25
0.175,0.90536,0.005,0.0014969,-0.032173,5.3444e-25
0.125,0.9554,0.005,0.00061428,-0.033392,3.9073e-25
0.075,1.0054,0.005,0.00018433,-0.034289,-6.516e-25
0.025,1.0555,0.005,-0.00028679,-0.03392,1.3617e-24
1.125,0.024,0.005,0.039948,-0.00054999,-2.6737e-24
1.075,0.072,0.005,0.041364,-0.0010741,-2.8692e-24
1.025,0.12,0.005,0.040132,-0.0022889,1.4134e-24
0.975,0.168,0.005,0.038351,-0.0035733,3.1897e-24
0.925,0.216,0.005,0.036264,-0.0050577,1.4826e-24
0.875,0.264,0.005,0.033931,-0.00669,-4.4254e-39
0.825,0.312,0.005,0.031393,-0.0084559,-1.4113e-38
0.775,0.36,0.005,0.028698,-0.010334,2.0502e-24
0.725,0.408,0.005,0.025897,-0.012299,-1.1942e-24
0.675,0.456,0.005,0.023043,-0.014323,-2.3973e-24
0.625,0.50502,0.005,0.020147,-0.016401,-9.9077e-25
0.575,0.55506,0.005,0.017256,-0.018502,7.492e-25
0.525,0.60511,0.005,0.014451,-0.020575,1.656e-24
0.475,0.65515,0.005,0.011774,-0.022595,-8.1208e-40
0.425,0.70519,0.005,0.0092677,-0.024539,-5.8146e-25
0.375,0.75523,0.005,0.0069752,-0.026384,1.5777e-24
0.325,0.80528,0.005,0.0049386,-0.02811,8.1882e-25
0.275,0.85532,0.005,0.0031975,-0.029698,0
0.225,0.90536,0.005,0.0017875,-0.031127,-5.9293e-25
0.175,0.9554,0.005,0.00073869,-0.032379,2.1845e-26
0.125,1.0054,0.005,6.3239e-05,-0.03342,-5.3512e-25
0.075,1.0555,0.005,-0.00012905,-0.034172,1.7175e-24
0.025,1.1055,0.005,-0.00046167,-0.033714,-1.162e-24
1.175,0.024,0.005,0.040506,-0.00044395,2.3708e-24
1.125,0.072,0.005,0.042145,-0.00088505,-4.2853e-24
1.075,0.12,0.005,0.041012,-0.0019714,-1.4742e-24
1.025,0.168,0.005,0.039296,-0.0031397,4.3668e-39
0.975,0.216,0.005,0.037262,-0.004511,-2.0906e-24
0.925,0.264,0.005,0.034973,-0.0060379,-1.7364e-24
0.875,0.312,0.005,0.032469,-0.0077077,-7.4999e-25
0.825,0.36,0.005,0.029796,-0.0095008,7.7215e-25
0.775,0.408,0.005,0.027003,-0.011393,9.7196e-25
0.725,0.456,0.005,0.024142,-0.013359,7.515e-25
0.675,0.50502,0.005,0.021223,-0.015391,-3.1778e-26
0.625,0.55506,0.005,0.01829,-0.017459,-9.8678e-25
0.575,0.60511,0.005,0.015427,-0.01951,-6.8009e-25
0.525,0.65515,0.005,0.012677,-0.021518,-9.1642e-25
0.475,0.70519,0.005,0.01008,-0.023456,3.157e-25
0.425,0.75523,0.005,0.0076796,-0.025301,8.1903e-25
0.375,0.80528,0.005,0.005517,-0.027029,8.7029e-27
0.325,0.85532,0.005,0.0036325,-0.02862,7.0065e-25
0.275,0.90536,0.005,0.002063,-0.030055,7.982e-25
0.225,0.9554,0.005,0.00084073,-0.031318,3.1638e-39
0.175,1.0054,0.005,-6.3552e-06,-0.032389,-8.0171e-34
0.125,1.0555,0.005,-0.00047478,-0.033246,1.6834e-24
0.075,1.1055,0.005,-0.00046185,-0.033828,-1.8049e-24
0.025,1.1556,0.005,-0.00063797,-0.033285,-3.552e-24
1.225,0.024,0.005,0.040934,-0.0003407,3.801e-25
1.175,0.072,0.005,0.042809,-0.00070292,2.2276e-24
1.125,0.12,0.005,0.041775,-0.001662,-5.0323e-25
1.075,0.168,0.005,0.040131,-0.0027159,-8.8859e-40
1.025,0.216,0.005,0.038156,-0.0039746,-1.3433e-24
0.975,0.264,0.005,0.035918,-0.005395,-2.5832e-24
0.925,0.312,0.005,0.033455,-0.006966,-9.3891e-25
0.875,0.36,0.005,0.030812,-0.0086699,6.8705e-39
0.825,0.408,0.005,0.028035,-0.010485,-7.5734e-25
0.775,0.456,0.005,0.025175,-0.012386,0
0.725,0.50502,0.005,0.022239,-0.014366,2.8608e-25
0.675,0.55506,0.005,0.019272,-0.016393,4.3347e-25
0.625,0.60511,0.005,0.016359,-0.018418,6.598e-25
0.575,0.65515,0.005,0.013541,-0.020411,-6.0304e-25
0.525,0.70519,0.005,0.01086,-0.022343,-1.0698e-24
0.475,0.75523,0.005,0.0083571,-0.024188,-8.4226e-25
0.425,0.80528,0.005,0.0060744,-0.025921,0
0.375,0.85532,0.005,0.0040521,-0.02752,2.6477e-25
0.325,0.90536,0.005,0.002328,-0.028965,8.3351e-25
0.275,0.9554,0.005,0.00093608,-0.030237,6.4993e-25
0.225,1.0054,0.005,-9.4292e-05,-0.031323,4.5261e-25
0.175,1.0555,0.005,-0.00073676,-0.032207,2.4534e-25
0.125,1.1055,0.005,-0.0010042,-0.032875,5.9937e-25
0.075,1.1556,0.005,-0.00078721,-0.033287,-3.3221e-25
0.025,1.2056,0.005,-0.00081879,-0.032641,-1.6888e-24
1.275,0.024,0.005,0.041244,-0.00023968,-1.4653e-24
1.225,0.072,0.005,0.043342,-0.00054491,5.9799e-25
1.175,0.12,0.005,0.042429,-0.0013594,1.065e-24
1.125,0.168,0.005,0.040857,-0.0023024,6.4534e-25
1.075,0.216,0.005,0.038947,-0.003449,8.8392e-25
1.025,0.264,0.005,0.036765,-0.0047622,6.6312e-25
0.975,0.312,0.005,0.034349,-0.0062322,-6.9254e-25
0.925,0.36,0.005,0.031742,-0.0078432,-1.6529e-25
0.875,0.408,0.005,0.028988,-0.0095755,-1.1444e-40
0.825,0.456,0.005,0.026136,-0.011406,-1.4441e-24
0.775,0.50502,0.005,0.023191,-0.013327,-1.2059e-24
0.725,0.55506,0.005,0.020198,-0.015308,9.555e-25
0.675,0.60511,0.005,0.017241,-0.017301,5.6421e-39
0.625,0.65515,0.005,0.014363,-0.019274,-5.8639e-25
0.575,0.70519,0.005,0.011605,-0.021198,-8.9371e-25
0.525,0.75523,0.005,0.0090069,-0.023044,-4.3993e-25
0.475,0.80528,0.005,0.0066108,-0.024784,0
0.425,0.85532,0.005,0.0044571,-0.026395,-7.7042e-25
0.375,0.90536,0.005,0.0025844,-0.027853,-8.6357e-25
0.325,0.9554,0.005,0.0010281,-0.029141,-6.9225e-25
0.275,1.0054,0.005,-0.00018064,-0.030242,-2.5919e-39
0.225,1.0555,0.005,-0.0010136,-0.031143,-2.836e-25
0.175,1.1055,0.005,-0.0014586,-0.031834,1.2557e-24
0.125,1.1556,0.005,-0.0015241,-0.032312,5.7471e-25
0.075,1.2056,0.005,-0.0010993,-0.032538,-4.1008e-24
0.025,1.2557,0.005,-0.00099961,-0.03179,-2.0114e-37
1.325,0.024,0.005,0.04144,-0.00014676,2.586e-25
1.275,0.072,0.005,0.043788,-0.0003903,-1.7771e-24
1.225,0.12,0.005,0.042966,-0.0010707,-1.1514e-24
1.175,0.168,0.005,0.041478,-0.0018995,3.7787e-25
1.125,0.216,0.005,0.039636,-0.002935,-4.1779e-25
1.075,0.264,0.005,0.037514,-0.0041405,-6.2784e-40
1.025,0.312,0.005,0.035151,-0.0055079,8.0778e-25
0.975,0.36,0.005,0.032585,-0.0070229,-1.647e-24
0.925,0.408,0.005,0.02986,-0.008668,-1.5484e-24
0.875,0.456,0.005,0.027023,-0.010422,6.8678e-25
0.825,0.50502,0.005,0.024077,-0.012277,1.9994e-25
0.775,0.55506,0.005,0.021064,-0.014205,6.6913e-25
